type,RelNO,content,Arg1_Content,Arg2_Content
Explicit,1,先序,在南国宪法法庭宣布９月２４号总统选举部分无效之后,俄国将调整他对这个事件的处理方针。
Explicit,6,平行,他将邀请南国总统米洛舍维奇,和南国反对党总统候选人科什图尼察到莫斯科举行谈判
Explicit,2,原因在先,科什图尼察表示由于南国国内的政治危机,他无法离开南斯拉夫
Explicit,2,目的在后,普京在访问印度期间和印度总理瓦杰帕耶达成协议，两国将制订共同战略,打击来自阿富汗的国际恐怖行动
Explicit,4,间接对比,虽然缺乏领袖魅力,但是却平实、稳健
Explicit,1,先序,表明不会干预民主进程的立场之后,众叛亲离的米洛舍维奇终于在６号晚上宣布选举失败
Explicit,6,平行,叙利亚在８号重申他支持黎巴嫩的民兵组织真主党,叙利亚并且声称他不会屈服于以色列不负责任的威胁
Explicit,3,充分条件在先,如果边界暴力活动持续下去,叙利亚将成为以色列报复的目标
Explicit,5,递进,他的得奖,同时也是中国作家在“诺贝尔文学奖”的零的突破
Explicit,1,先序,他先前并不认为自己可以获得评审的青睐，而且也不会是获奖的热门人选之一,不过高行健笑着说，或许这就是评审的巧妙安排吧。
Explicit,6,平行,他先前并不认为自己可以获得评审的青睐,而且也不会是获奖的热门人选之一
Explicit,5,递进,他不仅是一名小说家和剧作家,同时也是一名画家
Explicit,2,原因在先,因为目睹中共军队杀害示威学生,愤而宣布脱离了中国共产党，于是中共宣布高行健为不受欢迎的人物，也下令禁止出版他的作品
Explicit,5,递进,除了表彰他在中文文学创作的伟大成就之外,似乎也有意借此彰显高行健遭到中共当局迫害
Explicit,5,递进,高行健目前已经完成了一部新作《另一种美》的书稿,并且表示能够在台湾出版。
Explicit,5,递进,企业咨询委员会每年集会４次,并且依循惯例在每年ａｐｅｃ领袖会议期间和领袖们进行对话，向领袖们提出年度工作报告和鉴言。
Explicit,5,实例在后,分成金融、商业、电器化、科技等领域,其中有我方主导提出的《强化亚洲债券市场方案》也获得各经济体一致支持，未来将由各会员先各自在国内推动和欧美一样的债券平等，再由亚太经合会成立亚洲债券市场吸引长期之星回流到亚洲
Explicit,3,相关条件,最重要的是如果使长期的资金能够顺利的回到亚洲,为了这个我们必须要建立一个债券的市场
Explicit,6,平行,ａｐｅｃ企业咨询委员会将促请ａｐｅｃ领袖加促经济体内电子商务的发展，减少对电子商务的规范,，同时客观评估基因改造食物对各经济体未来所造成的风险和利益。
Explicit,2,原因在先,这次普查规定私生子女登记普查之后便可以入户口,引发了广州出现了离婚潮，不少偷养私生子的男子纷纷要求与原配离婚
Explicit,2,结果在先,平常很乖的丈夫突然提出了离婚,理由是在外面偷养了私生子
Explicit,2,结果在先,突然提出离婚,就是因为人口普查有机可趁，想趁机为非婚生子女报户口，再弃旧娶新，二奶变大婆
Explicit,6,平行,专家们呼吁妻子要有危机意识,和自我保护的意识
Explicit,6,平行,运用法律手段维护子女,以及自己的合法权益
Explicit,2,原因在先,日本内阁官防长官中村植秀由于媒体报导的丑闻,已经在２７号上午向森喜朗首相提出了辞呈获准
Explicit,6,平行,不过由于婚外情的问题,以及他涉嫌和右冀团体干部一起的丑闻而被迫下台
Explicit,2,原因在先,他是继７月３０号的前金融再生委员长之后第二位在森内阁当中因为丑闻案,下台的大臣
Explicit,4,正向对比,他是继７月３０号的前金融再生委员长之后,第二位在森内阁当中因为丑闻案而下台的大臣
Explicit,2,原因在先,他同时又是内阁的发言人,因此对于森政权造成了重大的打击
Explicit,5,递进,日本的出版社新潮社在２６号晚上将中村和婚外情人的电话录音提供给了民营电视台来播放,而内容是不利于中村的
Explicit,2,原因在先,基于事态继续发展下去将会可能发展成为森喜朗的责任问题,因此中村在２６号深夜亲自的前往首相官邸，向森喜朗表明他的辞意。
Explicit,6,平行,造成１９人丧生,和超过１３万人无家可归
Explicit,2,原因在先,尚神台风２８号侵袭菲律宾群岛之后在１６个省份内总共有２７９４５户，总共１３３７６１人因为水灾或者是房舍被毁,而流离失所。
Explicit,2,原因在先,至少有２２８人因为强风吹倒的树木、电线杆、飞落的碎片和坍方,受伤
Explicit,5,递进,马尼拉及邻近地区有几百个村庄,仍然没有电力供应
Explicit,6,平行,造成的农作物,基础建设损失
Explicit,6,平行,恢复服务的航班包括香港至台北,以及台北到香港航班
Explicit,5,递进,除了导致大批旅客包括许多准备前往台北采访空难的新闻记者滞留在香港机场,，直到下午２：１７分日本亚细亚航空公司开出第一班离港到台北的班机才疏导了滞留在机场的旅客。
Explicit,2,原因在先,这项《军事人员地位协定》却因为今年４月份一名美国驻南韩官员将一名南韩女性勒死之后却轻易的逃过美国的监护而免于法律的制裁，引起南韩方面的极大不满和抗议,所以美方才同意修改协定的内容
Explicit,4,间接对比,今年４月份一名美国驻南韩官员将一名南韩女性勒死之后,却轻易的逃过美国的监护而免于法律的制裁
Explicit,3,充分条件在先,如果不采取有效的防范措施,非洲是未来２０年艾滋病肆虐最严重的地区
Explicit,5,递进,１９９９年撒哈拉以南非洲地区有４００万人感染上艾滋病病毒,从而使艾滋病带源者达到了２４００万人，其中１２２０万人是妇女
Explicit,4,间接对比,这个地区国家的人口仅占世界人口的５％,但是艾滋病带源者的数量却占了全球总数的一半以上
Explicit,4,让步在先,即使象南非这样一个经济状况比较好的国家,也难逃这项灾难，其中２０％的人感染艾滋病病毒
Explicit,2,目的在先,而为了延续商机他预测,大中华地区的网站间的合并动作将会持续下去
Explicit,2,原因在先,这代表大中华的市场日趋成熟,因此吸引美国的主流业者进军中国与台湾
Explicit,5,递进,针对美商雅虎公司９号宣布购并奇摩网站一事,而这次的购并只是其中的第一步
Explicit,2,原因在先,江现冰认为网站公司为延续商业机制,因此相继会有许多公司会有并购的情形
Explicit,2,原因在先,那是大中国公司这边比较特殊，大部分还是ｐａｃｋｃｏｍｐａｎｙ，它不是一个公开上市的公司,所以它会借由并购的方式来延续它的商业机制。
Explicit,6,平行,许多会有这样并购或是收编,或者是靠航
Explicit,2,原因在先,在大陆与台湾的网路市场中排名二、三名的公司现在都会感受到这波的压力,因此网站公司会思考类似购并计划。
Explicit,5,递进,网路经济除了依旧会出现大者横大的现象外，,竞争国际市场将是无法不可抵挡的趋势。
Explicit,6,平行,例如与其他国家较小的网站形成跨国性的联盟，,或是透过肄业联盟的方式来维持竞争力
Explicit,2,目的在先,以打击毒品犯罪名义,派遣５名干员赴大陆与中国公安合作打击海峡两岸犯罪
Explicit,4,间接对比,内政部警政署刑事警察局明年将以打击毒品犯罪名义派遣５名干员赴大陆与中国公安合作打击海峡两岸犯罪,但是合作的管道还没有建立之前就已经传出四海帮帮主杨光南等８名台湾黑社会分子在大陆上海被捕的消息
Explicit,4,间接对比,虽然海基会还没有接获大陆海协会通知，有关杨光南等黑社会分子在上海遭中共公安逮捕的消息,但是今后刑事组透过私人管道查证，已经证实杨光南在上海被捕。
Explicit,2,原因在先,由于双方早先为了抢占上海地盘存有心结,当时言谈之间再度爆发了不愉快，大打出手
Explicit,2,结果在先,杨光南之所以会被大陆公安锁定,与他在大陆经常掀起帮派之间的争端有直接的关系
Explicit,2,原因在先,他不愿意接受,因为当时他还是市长的身份
Explicit,2,目的在后,他希望整个弹劾程序能够加速的进行,以便提出他这方面的说法
Explicit,2,原因在先,由于救援的行动相当的困难,消防人员都必须要戴上氧气罩来灭火
Explicit,2,原因在先,事发后有１８名乘客及时逃脱存活,以至有１５５人不幸罹难
Explicit,6,平行,２名斯洛伐尼亚人,和１名克罗埃西亚人
Explicit,4,间接对比,最不可能发生火灾的高山赏雪登山缆车,竟然在深入隧道６００公尺处失火，奥地利调查单位仍然无法了解真正肇事的原因。
Explicit,5,递进,最不可能发生火灾的高山赏雪登山缆车，竟然在深入隧道６００公尺处失火,奥地利调查单位仍然无法了解真正肇事的原因
Explicit,5,递进,这列登山缆车载有柴油、爆竹,甚至有缆车被安装炸弹的传闻
Explicit,6,平行,所有负责的奥地利检察人员、医疗跟救难人员都将全力投入调查,和救援的工作
Explicit,1,同步,尼克松在１９６９年越战最高峰时,到美国支持的越南进行短暂停留
Explicit,1,同步,另外克林顿总统在今天出席文莱举行的亚太经合会议非正式领袖高峰会时指出,他希望能够很快的决定是否在他明年元月卸任之前到北韩进行历史性的访问。
Explicit,1,先序,在美国和北韩谈判代表无法就限制北韩飞弹计划议题达成共识之后，,克林顿这个月稍早决定，将北韩排除在他这次的亚洲访问行程。
Explicit,5,递进,美国希望北韩终止他的长程飞弹试射计划，,并且限制将飞弹技术出售到巴基斯坦和一些中东国家。
Explicit,5,递进,在名义王番府附近红门创建了反清复明的秘密会社,并且以红门为组织的名称进行推翻满清的活动
Explicit,4,间接对比,其后虽然经过清朝不断的捕杀,但是到了清朝末期，红门的势力已经遍及了大陆的南部以及东南亚各国，成员以百万计
Explicit,5,递进,红门早期核心成员除了名义番宗氏子孙之外,还吸收了方以志、艾南英、陈效益等江南官绅加入红门
Explicit,5,递进,红门早期核心成员除了名义番宗氏子孙之外，还吸收了方以志、艾南英、陈效益等江南官绅加入红门,并且凭着巨大的影响力让红门得以壮大
Explicit,1,先序,对中共镇压法轮功情况拍照之后,再交给海外媒体发表
Explicit,6,平行,目前拥有绿卡她是一名针灸师,同时在美国纽约的中医学院任教
Explicit,2,原因在先,因为全球成长率降低和国内需求减弱,公元２００１年将只会朝温和扩张的方向进行
Explicit,4,反向对比,全球经济今年的成长率预估可以达到４．７％,而美国经济的扩张速度将会大幅的衰减
Explicit,4,间接对比,虽然石油价格大幅上扬减低了竞争力,不过亚洲地区证券和货币市场的波动并没有影响到这些预测值
Explicit,4,间接对比,香港、南韩、新加坡和台湾公元２０００年的成长率应该可以从１９９９年的７．４％，上升上８．２％,不过因为出口预期下降，可能使明年的出口毛额降到６．３％
Explicit,2,原因在先,因为出口预期下降,可能使明年的出口毛额降到６．３％
Explicit,5,递进,救援人员至少挖出１０多具的尸体,另外也使用生命探测器进行抢救
Explicit,2,原因在先,因为重量过重影响结构,而导致意外
Explicit,4,间接对比,当施工队进行加盖第三层楼时发现该栋楼房地基不稳曾向施工队长反映,但是并没有下文
Explicit,1,先序,一名陈姓住户发现墙上有裂缝,于是打电话请加盖楼层的叶姓屋主来看。
Explicit,4,间接对比,叶姓屋主认为事态严重于下午邀集赤岭村干部和施工的工头和技术人员赴现场查看,却得到“肯定没事你们放心吧”的答案。
Explicit,6,平行,其中曾经在１９９１年到１９９３年出任首相的宫泽喜一这次再度的被留任为大藏大臣，,另一位前首相乔本龙太郎则被任命为主导行政改革的阁员
Explicit,2,原因在先,由于乔本龙太郎掌控自民党内部最大派阀,他加入森内阁等于为新政权增加合法性以及取得国会支持所需要的影响力。
Explicit,2,目的在后,而日本内阁这一次的改组,是为了配合明年１月６号日本装部会精简法案的实施
Explicit,5,解释说明,不过戈尔问顶白宫的真正的唯一希望,可能取决于在两个小郡所提出的两件选举官司
Explicit,6,互斥选择,佛州选举的胜利者将变成为戈尔,而不是佛州州务卿哈里斯先前所宣布确认的小布什
Explicit,2,原因在先,小布什阵营确定也会对两案提起上诉，因为两个郡都是共和党的票仓,２５０００张选票这通讯选票如果被判决无效的话则肯定会让戈尔多出了将近８０００张选票
Explicit,4,让步在先,即使出版了,也不在乎是否受到读者的欢迎
Explicit,5,实例在后,高行健的文学创作,包括了２部小说、１８本剧本以及１部短篇小说集
Explicit,5,实例在后,包括了２部小说、１８本剧本以及１部短篇小说集,其中小说《灵山》一书是２０世纪最杰出的中文著作
Explicit,5,递进,不仅反映高行健遭逢时代不幸而产生潜在内心的苦涩，在字里行间表现了无比的语文才华,更在文化层面为个人写作的自由奋斗不懈
Explicit,5,递进,认为是诺贝尔基金会政治性的考量所做的选择,甚至声称中国大陆很多其他作家更有资格获奖。
Explicit,5,递进,另外因为致力南北韩和解而获颁“诺贝尔和平奖”的南韩总统金大中１０号对自己能够获得这项殊荣非常感激,并且把这项荣耀归于韩国的全体国民，金大中在授奖演说中承诺将以余生致力于韩国和全球的人权与和平推动南北韩和解与合作
Explicit,6,平行,许朝清毕业于交通大学研究所，现年２８岁,受到轻伤的王贯仁则是毕业于辅仁大学
Explicit,1,先序,许朝清的家人在获悉噩耗之后已经在１５号自台北飞抵洛杉矶,随即由洛杉矶台北经济文化办事处文化组长黄景新的陪同来到当地医院料理后事
Explicit,2,原因在先,内容指出两岸加入世贸组织之后，已经赴大陆投资的台商将比台湾同业更为有利,这是造成现在一窝蜂大陆投资热的主要原因
Explicit,1,先序,内容指出两岸加入世贸组织之后,已经赴大陆投资的台商将比台湾同业更为有利
Explicit,3,相关条件,如果过度投资技术创新不足的农业跟工业,恐怕会出现新一轮盲目重复建设和产品过剩的现象。
Explicit,5,递进,一年一度的圣诞节即将来临了,而圣诞老人是每个儿童在幼年时期不可磨灭的故事
Explicit,3,相关条件在先,耶诞老人如果要在３１个小时内飞过１亿４千万公里到达在不同时区的世界各个角落，,他的雪撬必须以每秒１０４０公里的速度向西飞行
Explicit,5,递进,科学家计算圣诞老人每到达一户人家时必须在千分之一秒内完成将礼物放下,并且回到雪撬上的动作
Explicit,6,平行,以《卧虎藏龙》配乐获得金马奖最佳电影配乐,以及金球奖最佳电影配乐提名
Explicit,6,平行,曲目除了安排电影《卧虎藏龙》的电影配乐之外,还将要演出普罗高菲夫的《罗密欧与朱丽叶》组曲
Explicit,6,平行,还将要演出普罗高菲夫的《罗密欧与朱丽叶》组曲,以及谭盾融合了视觉、听觉以及跨国艺术的创作，多媒体歌剧《门》来挑战台湾乐迷的耳朵
Explicit,5,递进,谭盾以丰富的中国民族艺术为基础，融合了西方音乐的形式向世界音乐的美学出发，就如同香港这个融合了中西的国际城市,也凸显出了谭盾创作的多元风格
Explicit,5,递进,过去也一直活跃在古典乐坛上,不过在现在世纪末的今天，以李安的电影《卧虎藏龙》的配乐再度捧热了他的知名度，也让他的音乐打进了主流的流行乐坛
